                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   0.94,                0.80534,                 0.8536,                0.82277,                0.67844,                0.80945,                0.56285,                 1.0243,                   0.81,                0.87041,               0.006634,               0.006634,               0.006634
                     36,                0.91918,                0.78363,                0.85749,                0.81004,                0.70144,                0.82836,                0.57684,                0.99153,                0.77242,                0.86732,               0.006535,               0.006535,               0.006535
                     37,                0.94632,                0.76941,                0.87103,                0.86959,                0.65936,                0.83891,                0.59361,                0.98016,                 0.7665,                0.86572,               0.006436,               0.006436,               0.006436
                     38,                0.91935,                0.72768,                0.85317,                0.81596,                0.72267,                0.84496,                0.59776,                0.96801,                0.78301,                0.85641,               0.006337,               0.006337,               0.006337
                     39,                0.93952,                0.75305,                0.84865,                0.76804,                 0.7604,                0.85205,                0.61519,                 0.9162,                0.72235,                0.85073,               0.006238,               0.006238,               0.006238
                     40,                0.95019,                0.76647,                0.85322,                 0.8752,                0.69157,                0.85952,                0.61012,                0.95653,                0.70461,                0.85619,               0.006139,               0.006139,               0.006139
                     41,                0.91546,                  0.748,                0.85592,                0.80581,                0.74098,                0.84911,                0.61106,                0.94749,                0.81152,                0.85563,                0.00604,                0.00604,                0.00604
                     42,                0.92287,                0.70418,                0.85093,                0.78047,                0.73455,                0.84517,                0.60571,                0.94035,                0.80453,                0.85149,               0.005941,               0.005941,               0.005941
                     43,                 0.9155,                0.74232,                 0.8483,                0.82972,                0.70657,                0.82309,                0.58904,                0.98031,                 0.7739,                0.85645,               0.005842,               0.005842,               0.005842
                     44,                0.91707,                  0.715,                0.83683,                0.85445,                0.74262,                0.87099,                0.62082,                0.94949,                0.73229,                0.85209,               0.005743,               0.005743,               0.005743
                     45,                0.88663,                0.71229,                 0.8371,                0.89025,                0.74119,                 0.8933,                0.64069,                0.93387,                0.68622,                0.85282,               0.005644,               0.005644,               0.005644
                     46,                0.89034,                0.68637,                0.85616,                0.82762,                0.77669,                0.87886,                0.64592,                0.89448,                0.70254,                  0.849,               0.005545,               0.005545,               0.005545
                     47,                0.88579,                0.69805,                0.85553,                0.84052,                0.78632,                0.87893,                0.62086,                0.93215,                 0.6988,                0.85343,               0.005446,               0.005446,               0.005446
                     48,                0.85877,                0.66002,                 0.8435,                0.86765,                0.76685,                0.88262,                0.62968,                0.92209,                0.67153,                  0.851,               0.005347,               0.005347,               0.005347
                     49,                0.84299,                0.65231,                0.84298,                0.86688,                0.72673,                0.87844,                0.62569,                  0.971,                0.69387,                0.85275,               0.005248,               0.005248,               0.005248
                     50,                0.84083,                0.64448,                0.84258,                 0.8658,                0.75776,                0.88916,                0.64869,                0.89172,                0.66755,                0.84255,               0.005149,               0.005149,               0.005149
                     51,                 0.8314,                0.64616,                0.85603,                0.90351,                0.75407,                0.90261,                0.64639,                0.91327,                0.63139,                0.84799,                0.00505,                0.00505,                0.00505
                     52,                0.86107,                0.66222,                0.84467,                0.82654,                0.77065,                0.89419,                0.66155,                0.85279,                0.65402,                0.84043,               0.004951,               0.004951,               0.004951
                     53,                0.84057,                0.63381,                0.84528,                0.87394,                0.72838,                0.85774,                0.61155,                0.93879,                0.69045,                0.85512,               0.004852,               0.004852,               0.004852
